algoritmo,tamanho,repeticao,tempo_s
buscaBinariaIterativa,1000000,84,0.000000060
buscaBinariaIterativa,1000000,85,0.000000060
buscaBinariaIterativa,1000000,86,0.000000060
buscaBinariaIterativa,1000000,87,0.000000060
buscaBinariaIterativa,1000000,88,0.000000060
buscaBinariaIterativa,1000000,89,0.000000050
buscaBinariaIterativa,1000000,90,0.000000050
buscaBinariaIterativa,1000000,91,0.000000060
buscaBinariaIterativa,1000000,92,0.000000060
buscaBinariaIterativa,1000000,93,0.000000061
buscaBinariaIterativa,1000000,94,0.000000060
buscaBinariaIterativa,1000000,95,0.000000060
buscaBinariaIterativa,1000000,96,0.000000050
buscaBinariaIterativa,1000000,97,0.000000050
buscaBinariaIterativa,1000000,98,0.000000051
buscaBinariaIterativa,1000000,99,0.000000060
buscaBinariaIterativa,1000000,100,0.000000060
